==> (2022, 8, 13, 1, 42, 15) | [log] 下载图片并保存为./out/capture005/page01..jpg完成...
==> (2022, 8, 13, 1, 42, 15) | [log] !图片进度: (2/18)
==> (2022, 8, 13, 1, 42, 15) | [log] 下载图片并保存为./out/capture005/page02..jpg完成...
==> (2022, 8, 13, 1, 42, 15) | [log] !图片进度: (3/18)
==> (2022, 8, 13, 1, 42, 16) | [log] 下载图片并保存为./out/capture005/page03..jpg完成...
==> (2022, 8, 13, 1, 42, 16) | [log] !图片进度: (4/18)
==> (2022, 8, 13, 1, 42, 18) | [log] 下载图片并保存为./out/capture005/page04..jpg完成...
==> (2022, 8, 13, 1, 42, 18) | [log] !图片进度: (5/18)
==> (2022, 8, 13, 1, 42, 19) | [log] 下载图片并保存为./out/capture005/page05..jpg完成...
==> (2022, 8, 13, 1, 42, 19) | [log] !图片进度: (6/18)
==> (2022, 8, 13, 1, 42, 21) | [log] 下载图片并保存为./out/capture005/page06..jpg完成...
==> (2022, 8, 13, 1, 42, 21) | [log] !图片进度: (7/18)
==> (2022, 8, 13, 1, 42, 22) | [log] 下载图片并保存为./out/capture005/page07..jpg完成...
==> (2022, 8, 13, 1, 42, 22) | [log] !图片进度: (8/18)
==> (2022, 8, 13, 1, 42, 23) | [log] 下载图片并保存为./out/capture005/page08..jpg完成...
==> (2022, 8, 13, 1, 42, 23) | [log] !图片进度: (9/18)
==> (2022, 8, 13, 1, 42, 24) | [log] 下载图片并保存为./out/capture005/page09..jpg完成...
==> (2022, 8, 13, 1, 42, 24) | [log] !图片进度: (10/18)
==> (2022, 8, 13, 1, 42, 26) | [log] 下载图片并保存为./out/capture005/page10..jpg完成...
==> (2022, 8, 13, 1, 42, 26) | [log] !图片进度: (11/18)
==> (2022, 8, 13, 1, 42, 27) | [log] 下载图片并保存为./out/capture005/page11..jpg完成...
==> (2022, 8, 13, 1, 42, 27) | [log] !图片进度: (12/18)
==> (2022, 8, 13, 1, 42, 29) | [log] 下载图片并保存为./out/capture005/page12..jpg完成...
==> (2022, 8, 13, 1, 42, 29) | [log] !图片进度: (13/18)
==> (2022, 8, 13, 1, 42, 30) | [log] 下载图片并保存为./out/capture005/page13..jpg完成...
==> (2022, 8, 13, 1, 42, 30) | [log] !图片进度: (14/18)
==> (2022, 8, 13, 1, 42, 32) | [log] 下载图片并保存为./out/capture005/page14..jpg完成...
==> (2022, 8, 13, 1, 42, 32) | [log] !图片进度: (15/18)
==> (2022, 8, 13, 1, 42, 33) | [log] 下载图片并保存为./out/capture005/page15..jpg完成...
==> (2022, 8, 13, 1, 42, 33) | [log] !图片进度: (16/18)
==> (2022, 8, 13, 1, 42, 34) | [log] 下载图片并保存为./out/capture005/page16..jpg完成...
==> (2022, 8, 13, 1, 42, 34) | [log] !图片进度: (17/18)
==> (2022, 8, 13, 1, 42, 35) | [log] 下载图片并保存为./out/capture005/page17..jpg完成...
==> (2022, 8, 13, 1, 42, 35) | [log] !图片进度: (18/18)
==> (2022, 8, 13, 1, 42, 35) | [log] 下载图片并保存为./out/capture005/page18..jpg完成...
==> (2022, 8, 13, 1, 42, 35) | [log] !!!章节进度: 6(1-232) (6/232)
==> (2022, 8, 13, 1, 42, 35) | [debug] 创建目录./out/capture006/
==> (2022, 8, 13, 1, 42, 36) | [log] !图片进度: (1/18)
==> (2022, 8, 13, 1, 42, 37) | [log] 下载图片并保存为./out/capture006/page01..jpg完成...
==> (2022, 8, 13, 1, 42, 37) | [log] !图片进度: (2/18)
==> (2022, 8, 13, 1, 42, 38) | [log] 下载图片并保存为./out/capture006/page02..jpg完成...
==> (2022, 8, 13, 1, 42, 38) | [log] !图片进度: (3/18)
==> (2022, 8, 13, 1, 42, 39) | [log] 下载图片并保存为./out/capture006/page03..jpg完成...
==> (2022, 8, 13, 1, 42, 39) | [log] !图片进度: (4/18)
==> (2022, 8, 13, 1, 42, 40) | [log] 下载图片并保存为./out/capture006/page04..jpg完成...
==> (2022, 8, 13, 1, 42, 40) | [log] !图片进度: (5/18)
==> (2022, 8, 13, 1, 42, 41) | [log] 下载图片并保存为./out/capture006/page05..jpg完成...
==> (2022, 8, 13, 1, 42, 41) | [log] !图片进度: (6/18)
==> (2022, 8, 13, 1, 42, 43) | [log] 下载图片并保存为./out/capture006/page06..jpg完成...
==> (2022, 8, 13, 1, 42, 43) | [log] !图片进度: (7/18)
==> (2022, 8, 13, 1, 42, 44) | [log] 下载图片并保存为./out/capture006/page07..jpg完成...
==> (2022, 8, 13, 1, 42, 44) | [log] !图片进度: (8/18)
==> (2022, 8, 13, 1, 42, 45) | [log] 下载图片并保存为./out/capture006/page08..jpg完成...
==> (2022, 8, 13, 1, 42, 45) | [log] !图片进度: (9/18)
==> (2022, 8, 13, 1, 42, 47) | [log] 下载图片并保存为./out/capture006/page09..jpg完成...
==> (2022, 8, 13, 1, 42, 47) | [log] !图片进度: (10/18)
==> (2022, 8, 13, 1, 42, 48) | [log] 下载图片并保存为./out/capture006/page10..jpg完成...
==> (2022, 8, 13, 1, 42, 48) | [log] !图片进度: (11/18)
==> (2022, 8, 13, 1, 42, 49) | [log] 下载图片并保存为./out/capture006/page11..jpg完成...
==> (2022, 8, 13, 1, 42, 49) | [log] !图片进度: (12/18)
==> (2022, 8, 13, 1, 42, 50) | [log] 下载图片并保存为./out/capture006/page12..jpg完成...
==> (2022, 8, 13, 1, 42, 50) | [log] !图片进度: (13/18)
==> (2022, 8, 13, 1, 42, 52) | [log] 下载图片并保存为./out/capture006/page13..jpg完成...
==> (2022, 8, 13, 1, 42, 52) | [log] !图片进度: (14/18)
==> (2022, 8, 13, 1, 42, 53) | [log] 下载图片并保存为./out/capture006/page14..jpg完成...
==> (2022, 8, 13, 1, 42, 53) | [log] !图片进度: (15/18)
==> (2022, 8, 13, 1, 42, 54) | [log] 下载图片并保存为./out/capture006/page15..jpg完成...
==> (2022, 8, 13, 1, 42, 54) | [log] !图片进度: (16/18)
==> (2022, 8, 13, 1, 42, 55) | [log] 下载图片并保存为./out/capture006/page16..jpg完成...
